Vital Measurement,Node 1,Node 2,Node 3,Node 4,Node 5,Diagnostic Triage,Actions
Blood Glucose,Normal,Progressive,Baseline,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Normal,Acute,Standard,Regular,Follow up,Routine,Standard care - Follow routine protocol
Respiratory Rate,Moderate,Unstable,Normal,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Moderate,Progressive,Regular,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Stable,Baseline,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Stable,Regular,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Critical,Unstable,Maintenance,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Pain Level,High,Acute,Critical,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Glucose,Normal,Stable,Normal,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Respiratory Rate,High,Chronic,Emergency,Regular,Prevention,Immediate,Red flag - Immediate intervention required
AVPU Score,Critical,Chronic,Regular,Standard,Code Blue,Immediate,Red flag - Immediate intervention required
Pupil Response,Normal,Acute,Normal,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Pain Level,Normal,Unstable,Regular,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Heart Rate,Critical,Weak,Regular,Normal,Code Blue,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Moderate,Chronic,Regular,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Low,Stable,Watch,Watch,Check again,Monitor,Continue monitoring - Watch for changes
AVPU Score,Critical,Acute,Normal,Routine,Call 911,Immediate,Red flag - Immediate intervention required
Temperature,Low,Normal,Observe,Routine,Document,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Critical,Normal,Regular,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Skin Color,Critical,Stable,Normal,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Heart Rate,Normal,Bradycardia,Regular,Normal,Follow up,Routine,Standard care - Follow routine protocol
Oxygen Saturation,High,Chronic,Critical,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Progressive,Normal,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Critical,Acute,Standard,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Hypotension,Urgent,Stabilize,Call 911,Immediate,Red flag - Immediate intervention required
Temperature,High,Normal,Critical,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Stable,Normal,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Motor Function,Critical,Chronic,Standard,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Pressure,Moderate,Pre-hypertension,Baseline,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Progressive,Standard,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Stable,Maintenance,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Normal,Stable,Normal,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Normal,Tachycardia,Normal,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Low,Stable,Observe,Normal,Monitor closely,Monitor,Continue monitoring - Watch for changes
Temperature,High,Normal,Critical,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Capillary Refill,Normal,Unstable,Maintenance,Maintenance,Routine care,Routine,Standard care - Follow routine protocol
Mental Status,Critical,Acute,Standard,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Heart Rate,Critical,Normal,Standard,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Acute,Regular,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Pressure,High,Hypotension,Resuscitation,Normal,Maintenance,Immediate,Red flag - Immediate intervention required
Pain Level,Critical,Stable,Maintenance,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Pain Level,Normal,Stable,Standard,Routine,Follow up,Routine,Standard care - Follow routine protocol
Pain Level,Critical,Chronic,Baseline,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Progressive,Baseline,Regular,Follow up,Routine,Standard care - Follow routine protocol
Capillary Refill,Normal,Progressive,Standard,Regular,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Critical,Irregular,Regular,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Normal,Chronic,Maintenance,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Respiratory Rate,Moderate,Progressive,Normal,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Acute,Maintenance,Normal,Maintenance,Routine,Standard care - Follow routine protocol
Capillary Refill,Normal,Unstable,Normal,Normal,Follow up,Routine,Standard care - Follow routine protocol
Sensory Function,Critical,Unstable,Baseline,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Low,Unstable,Follow-up,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Skin Color,Critical,Acute,Maintenance,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Temperature,Moderate,Hypothermia,Maintenance,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Chronic,Immediate,Urgent,Call 911,Immediate,Red flag - Immediate intervention required
Mental Status,Moderate,Unstable,Baseline,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Pupil Response,Moderate,Chronic,Standard,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Pupil Response,Normal,Stable,Standard,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Moderate,Stable,Normal,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Low,Stable,Routine,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Skin Color,Critical,Stable,Maintenance,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Skin Color,Moderate,Chronic,Normal,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Mental Status,Normal,Stable,Normal,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Heart Rate,Low,Irregular,Watch,Evaluate,Follow protocol,Monitor,Continue monitoring - Watch for changes
Heart Rate,Critical,Irregular,Maintenance,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,High,Chronic,Immediate,Urgent,Code Blue,Immediate,Red flag - Immediate intervention required
Temperature,Moderate,Normal,Standard,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,High,Chronic,Urgent,Critical,Call 911,Immediate,Red flag - Immediate intervention required
Mental Status,Critical,Acute,Baseline,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Low,Progressive,Watch,Observe,Follow protocol,Monitor,Continue monitoring - Watch for changes
Motor Function,Low,Chronic,Monitor,Observe,Check again,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Stable,Routine,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Normal,Progressive,Baseline,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Blood Glucose,Moderate,Unstable,Maintenance,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Glucose,High,Unstable,Emergency,Routine,Maintenance,Immediate,Red flag - Immediate intervention required
Blood Pressure,Critical,Crisis,Maintenance,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Mental Status,Low,Acute,Watch,Assess,Reassess,Monitor,Continue monitoring - Watch for changes
Heart Rate,Critical,Bradycardia,Maintenance,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Motor Function,High,Progressive,Critical,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Stable,Emergency,Maintenance,Prevention,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,High,Unstable,Resuscitation,Maintenance,Follow up,Immediate,Red flag - Immediate intervention required
AVPU Score,High,Chronic,Resuscitation,Maintenance,Routine care,Immediate,Red flag - Immediate intervention required
Pupil Response,High,Chronic,Critical,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Unstable,Normal,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Critical,Acute,Standard,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
AVPU Score,High,Progressive,Emergency,Maintenance,Routine care,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Unstable,Baseline,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Critical,Normal,Regular,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Progressive,Baseline,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
Capillary Refill,Critical,Unstable,Normal,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Sensory Function,Low,Chronic,Routine,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Normal,Maintenance,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Unstable,Baseline,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Skin Color,Critical,Unstable,Regular,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Sensory Function,Low,Progressive,Observe,Normal,Document,Monitor,Continue monitoring - Watch for changes
Sensory Function,Low,Progressive,Follow-up,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Normal,Watch,Check,Document,Monitor,Continue monitoring - Watch for changes
Mental Status,Critical,Unstable,Normal,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Sensory Function,Low,Unstable,Monitor,Observe,Document,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Chronic,Baseline,Standard,Follow up,Routine,Standard care - Follow routine protocol
Pupil Response,Moderate,Stable,Normal,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Sensory Function,High,Stable,Urgent,Emergency,Call 911,Immediate,Red flag - Immediate intervention required
Heart Rate,High,Weak,Immediate,Urgent,Call 911,Immediate,Red flag - Immediate intervention required
Skin Color,High,Chronic,Emergency,Maintenance,Follow up,Immediate,Red flag - Immediate intervention required
Skin Color,Critical,Stable,Regular,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Acute,Standard,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Low,Crisis,Watch,Observe,Reassess,Monitor,Continue monitoring - Watch for changes
Temperature,Low,Fever,Observe,Normal,Document,Monitor,Continue monitoring - Watch for changes
Blood Glucose,High,Progressive,Emergency,Standard,Maintenance,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,High,Unstable,Immediate,Critical,Call 911,Immediate,Red flag - Immediate intervention required
Blood Pressure,Critical,Hypertension,Maintenance,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Moderate,Crisis,Normal,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Critical,Unstable,Maintenance,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Stable,Standard,Routine,Follow up,Routine,Standard care - Follow routine protocol
Capillary Refill,High,Acute,Immediate,Rescue,Routine care,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Acute,Standard,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Heart Rate,Moderate,Weak,Normal,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Motor Function,Low,Stable,Watch,Check,Monitor closely,Monitor,Continue monitoring - Watch for changes
Heart Rate,Critical,Normal,Normal,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Temperature,High,Normal,Resuscitation,Routine,Prevention,Immediate,Red flag - Immediate intervention required
Blood Pressure,Critical,Hypotension,Baseline,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Skin Color,High,Stable,Emergency,Normal,Maintenance,Immediate,Red flag - Immediate intervention required
Blood Pressure,Critical,Pre-hypertension,Maintenance,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Unstable,Regular,Routine,Prevention,Routine,Standard care - Follow routine protocol
AVPU Score,Critical,Chronic,Normal,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Pain Level,Normal,Progressive,Standard,Routine,Routine care,Routine,Standard care - Follow routine protocol
Blood Pressure,Normal,Pre-hypertension,Baseline,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Pupil Response,Normal,Chronic,Maintenance,Normal,Standard protocol,Routine,Standard care - Follow routine protocol
Blood Glucose,Moderate,Unstable,Normal,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Low,Chronic,Routine,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Stable,Standard,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Critical,Chronic,Standard,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Progressive,Maintenance,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Acute,Baseline,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Unstable,Standard,Routine,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Normal,Normal,Baseline,Normal,Prevention,Routine,Standard care - Follow routine protocol
Capillary Refill,Moderate,Stable,Normal,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Fever,Baseline,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Low,Normal,Routine,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,Normal,Unstable,Standard,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Pupil Response,Critical,Acute,Maintenance,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Moderate,Acute,Normal,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Progressive,Baseline,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Irregular,Regular,Normal,Routine care,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Moderate,Chronic,Maintenance,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Hypothermia,Standard,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Acute,Standard,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Motor Function,Moderate,Chronic,Standard,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
AVPU Score,Normal,Stable,Baseline,Regular,Prevention,Routine,Standard care - Follow routine protocol
Respiratory Rate,Normal,Progressive,Standard,Normal,Routine care,Routine,Standard care - Follow routine protocol
Sensory Function,Critical,Unstable,Regular,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Mental Status,Critical,Chronic,Maintenance,Standard,Code Blue,Immediate,Red flag - Immediate intervention required
AVPU Score,Moderate,Acute,Standard,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Normal,Unstable,Regular,Regular,Routine care,Routine,Standard care - Follow routine protocol
AVPU Score,High,Unstable,Resuscitation,Regular,Standard protocol,Immediate,Red flag - Immediate intervention required
Pupil Response,Critical,Chronic,Standard,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Progressive,Observe,Normal,Document,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Stable,Standard,Standard,Follow up,Routine,Standard care - Follow routine protocol
Blood Pressure,Critical,Hypertension,Standard,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Normal,Stable,Maintenance,Standard,Routine care,Routine,Standard care - Follow routine protocol
Sensory Function,Moderate,Acute,Baseline,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Heart Rate,Low,Weak,Watch,Check,Monitor closely,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Moderate,Chronic,Regular,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Critical,Unstable,Regular,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Temperature,Moderate,Fever,Normal,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Pre-hypertension,Standard,Standard,Prevention,Routine,Standard care - Follow routine protocol
Pupil Response,Critical,Unstable,Standard,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Motor Function,High,Chronic,Urgent,Stabilize,Call 911,Immediate,Red flag - Immediate intervention required
Motor Function,High,Stable,Immediate,Critical,Code Blue,Immediate,Red flag - Immediate intervention required
Motor Function,Low,Stable,Routine,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Heart Rate,Moderate,Normal,Normal,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Stable,Routine,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Acute,Maintenance,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Progressive,Normal,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
Skin Color,Moderate,Progressive,Maintenance,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
AVPU Score,High,Progressive,Emergency,Normal,Follow up,Immediate,Red flag - Immediate intervention required
AVPU Score,Low,Stable,Monitor,Observe,Reassess,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,High,Acute,Immediate,Emergency,Prevention,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Stable,Urgent,Urgent,Call 911,Immediate,Red flag - Immediate intervention required
AVPU Score,High,Progressive,Emergency,Standard,Routine care,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Progressive,Watch,Check,Document,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Progressive,Regular,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Low,Progressive,Monitor,Check,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,High,Unstable,Resuscitation,Normal,Follow up,Immediate,Red flag - Immediate intervention required
Temperature,High,Hyperthermia,Urgent,Emergency,Emergency Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Unstable,Standard,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Pain Level,Normal,Chronic,Normal,Routine,Routine care,Routine,Standard care - Follow routine protocol
Pain Level,Low,Stable,Observe,Standard,Reassess,Monitor,Continue monitoring - Watch for changes
AVPU Score,Low,Unstable,Monitor,Evaluate,Standard protocol,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Hypotension,Maintenance,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Respiratory Rate,Moderate,Unstable,Baseline,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Low,Chronic,Observe,Maintenance,Check again,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Chronic,Urgent,Critical,Code Blue,Immediate,Red flag - Immediate intervention required
Motor Function,Critical,Progressive,Standard,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Pain Level,High,Acute,Resuscitation,Routine,Maintenance,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Unstable,Observe,Maintenance,Check again,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Stable,Maintenance,Normal,Routine care,Routine,Standard care - Follow routine protocol
AVPU Score,High,Acute,Resuscitation,Regular,Maintenance,Immediate,Red flag - Immediate intervention required
Sensory Function,Normal,Acute,Normal,Normal,Maintenance,Routine,Standard care - Follow routine protocol
Temperature,Moderate,Fever,Standard,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Moderate,Acute,Regular,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Heart Rate,Critical,Weak,Baseline,Routine,Code Blue,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Chronic,Regular,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Normal,Acute,Regular,Normal,Follow up,Routine,Standard care - Follow routine protocol
Pain Level,Critical,Progressive,Maintenance,Standard,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Glucose,Moderate,Chronic,Standard,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Unstable,Maintenance,Standard,Prevention,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Critical,Chronic,Normal,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Chronic,Maintenance,Routine,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Critical,Irregular,Standard,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Stable,Regular,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Motor Function,Critical,Unstable,Regular,Maintenance,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Normal,Baseline,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Temperature,Low,Hypothermia,Observe,Standard,Check again,Monitor,Continue monitoring - Watch for changes
Temperature,Moderate,Normal,Regular,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Normal,Stable,Normal,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Mental Status,Low,Progressive,Routine,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Stable,Routine,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Chronic,Maintenance,Routine,Code Blue,Immediate,Red flag - Immediate intervention required
Blood Glucose,High,Unstable,Critical,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Sensory Function,Critical,Progressive,Baseline,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Heart Rate,Normal,Weak,Regular,Normal,Prevention,Routine,Standard care - Follow routine protocol
Motor Function,Moderate,Acute,Standard,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Moderate,Stable,Standard,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Moderate,Chronic,Normal,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Normal,Regular,Standard,Routine care,Routine,Standard care - Follow routine protocol
Motor Function,Critical,Stable,Normal,Routine,Call 911,Immediate,Red flag - Immediate intervention required
Sensory Function,Moderate,Unstable,Maintenance,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Critical,Acute,Standard,Routine,Call 911,Immediate,Red flag - Immediate intervention required
Motor Function,Normal,Acute,Normal,Normal,Prevention,Routine,Standard care - Follow routine protocol
Temperature,Normal,Fever,Baseline,Regular,Routine care,Routine,Standard care - Follow routine protocol
Capillary Refill,Moderate,Acute,Maintenance,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Low,Unstable,Routine,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Low,Stable,Monitor,Assess,Standard protocol,Monitor,Continue monitoring - Watch for changes
Skin Color,Critical,Acute,Normal,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Chronic,Routine,Maintenance,Routine care,Monitor,Continue monitoring - Watch for changes
Mental Status,Moderate,Progressive,Normal,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Critical,Hypotension,Normal,Routine,Call 911,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Normal,Unstable,Maintenance,Standard,Follow up,Routine,Standard care - Follow routine protocol
Temperature,Moderate,Normal,Maintenance,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Heart Rate,High,Bradycardia,Resuscitation,Standard,Prevention,Immediate,Red flag - Immediate intervention required
Mental Status,High,Stable,Urgent,Critical,Rapid Response,Immediate,Red flag - Immediate intervention required
Motor Function,Low,Acute,Follow-up,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Moderate,Acute,Maintenance,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Temperature,Moderate,Fever,Regular,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Heart Rate,Critical,Weak,Normal,Standard,Call 911,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Stable,Normal,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Critical,Chronic,Regular,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Acute,Standard,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Moderate,Unstable,Maintenance,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Temperature,Low,Normal,Monitor,Watch,Monitor closely,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Moderate,Acute,Normal,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
AVPU Score,Low,Acute,Watch,Evaluate,Follow protocol,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Low,Chronic,Monitor,Evaluate,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Stable,Normal,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,Moderate,Progressive,Standard,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Hypotension,Maintenance,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Blood Pressure,Normal,Pre-hypertension,Baseline,Regular,Maintenance,Routine,Standard care - Follow routine protocol
Blood Pressure,Critical,Crisis,Baseline,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Progressive,Standard,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Sensory Function,Moderate,Acute,Normal,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Mental Status,Normal,Chronic,Maintenance,Normal,Maintenance,Routine,Standard care - Follow routine protocol
Mental Status,Critical,Acute,Normal,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Moderate,Unstable,Normal,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Temperature,Moderate,Hypothermia,Standard,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Hyperthermia,Baseline,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Normal,Chronic,Baseline,Standard,Routine care,Routine,Standard care - Follow routine protocol
Motor Function,Normal,Progressive,Maintenance,Regular,Follow up,Routine,Standard care - Follow routine protocol
Respiratory Rate,Moderate,Progressive,Baseline,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Unstable,Monitor,Watch,Monitor closely,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Acute,Maintenance,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Sensory Function,Low,Unstable,Follow-up,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Motor Function,Moderate,Acute,Baseline,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Moderate,Stable,Maintenance,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Normal,Unstable,Regular,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
Skin Color,Moderate,Acute,Maintenance,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Moderate,Chronic,Standard,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Motor Function,Moderate,Progressive,Standard,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
